word_index,file_offset_hex,vma_hex,value_u16,value_hex
502,0x0005a0ec,0x67dca0ec,258,0x0102
503,0x0005a0ee,0x67dca0ee,258,0x0102
504,0x0005a0f0,0x67dca0f0,258,0x0102
505,0x0005a0f2,0x67dca0f2,258,0x0102
506,0x0005a0f4,0x67dca0f4,258,0x0102
507,0x0005a0f6,0x67dca0f6,258,0x0102
508,0x0005a0f8,0x67dca0f8,16,0x0010
509,0x0005a0fa,0x67dca0fa,258,0x0102
510,0x0005a0fc,0x67dca0fc,258,0x0102
511,0x0005a0fe,0x67dca0fe,258,0x0102
